,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,(%),(md),(mm),categ,,,,,
156,3.0,156.0,19.1,19.498445997580465,,,Delta front,NM,,,
157,3.0,157.0,18,23.442288153199236,,,Delta front,NM,,,
158,3.0,158.0,18.7,23.988329190194907,,,Delta front,NM,,,
159,3.0,159.0,19.2,21.877616239495538,,,Delta front,NM,,,
160,3.0,160.0,19.8,23.442288153199236,,,Delta front,NM,,,
161,3.0,161.0,19.7,24.547089156850305,,,Delta front,NM,,,
162,3.0,162.0,20.1,25.1188643150958,,,Delta front,NM,,,
163,3.0,163.0,19.6,27.542287033381665,,,Delta front,NM,,,
164,3.0,164.0,20.2,30.199517204020164,,,Delta front,NM,,,
165,3.0,165.0,15.2,28.183829312644548,,,Delta front,NM,,,
166,3.0,166.0,16.9,34.67368504525318,,,Delta front,NM,,,
167,3.0,167.0,17.9,30.549211132155147,,,Delta front,NM,,,
168,3.0,168.0,19,31.622776601683803,,,Delta front,NM,,,
169,3.0,169.0,19.5,32.35936569296283,,,Delta front,NM,,,
170,3.0,170.0,17.1,51.880003892896134,,,Delta front,NM,,,
171,3.0,171.0,18.9,51.28613839913649,,,Delta front,NM,,,
172,3.0,172.0,19,44.668359215096324,,,Delta front,NM,,,
173,3.0,173.0,21.4,39.810717055349755,,,Delta front,NM,,,
174,3.0,174.0,20.01,74.13102413009182,,,Delta front,NM,,,
175,3.0,175.0,21,63.095734448019364,,,Delta front,NM,,,
176,3.0,176.0,21.5,52.480746024977286,,,Delta front,NM,,,
177,3.0,177.0,21,154.8816618912482,,,Delta front,NM,,,
178,3.0,178.0,22.1,147.91083881682084,,,Delta front,NM,,,
179,3.0,179.0,23.15,123.02687708123821,,,Delta front,NM,,,
180,3.0,180.0,26.1,112.20184543019634,,,Delta front,NM,,,
181,3.0,181.0,24.1,208.92961308540396,,,Delta front,NM,,,
182,3.0,182.0,26,158.48931924611153,,,Delta front,NM,,,
183,3.0,183.0,25.5,371.53522909717265,,,Delta front,NM,,,
184,3.0,184.0,26.8,407.3802778041127,,,Delta front,NM,,,
185,3.0,185.0,21,3162.2776601683804,,,Mid-braided stream,NM,,,
186,3.0,186.0,21.3,1905.4607179632485,,,Mid-braided stream,NM,,,
187,3.0,187.0,22.5,2238.7211385683418,,,Mid-braided stream,NM,,,
188,3.0,188.0,23.7,2290.867652767775,,,Mid-braided stream,NM,,,
189,3.0,189.0,25.8,2511.886431509581,,,Mid-braided stream,NM,,,
190,3.0,190.0,28,2754.228703338169,,,Mid-braided stream,NM,,,
191,3.0,191.0,20.1,1258.925411794168,,,Mid-braided stream,NM,,,
192,3.0,192.0,21,1258.925411794168,,,Mid-braided stream,NM,,,
193,3.0,193.0,22.1,1479.1083881682086,,,Mid-braided stream,NM,,,
194,3.0,194.0,23.4,1862.0871366628687,,,Mid-braided stream,NM,,,
195,3.0,195.0,24.1,1621.8100973589308,,,Mid-braided stream,NM,,,
