,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE_ORI
0,,,(%),(md),(mm),categ,,,,categ
192,58.0,,16,0.08511380382023762,,f,,,,open circle -- fine-grained
193,58.0,,16.1,0.7079457843841379,,f,,,,open circle -- fine-grained
194,58.0,,16.1,0.5623413251903491,,f,,,,open circle -- fine-grained
195,58.0,,16.2,0.1,,f,,,,open circle -- fine-grained
196,58.0,,16.6,0.07762471166286913,,f,,,,open circle -- fine-grained
197,58.0,,16.7,0.08709635899560801,,f,,,,open circle -- fine-grained
198,58.0,,16.8,0.1,,f,,,,open circle -- fine-grained
199,58.0,,17,1.5848931924611136,,f,,,,open circle -- fine-grained
200,58.0,,17.1,0.019952623149688792,,f,,,,open circle -- fine-grained
201,58.0,,17.5,0.1949844599758045,,f,,,,open circle -- fine-grained
202,58.0,,17.7,0.7943282347242815,,f,,,,open circle -- fine-grained
203,58.0,,18,0.5128613839913648,,f,,,,open circle -- fine-grained
204,58.0,,18.1,0.15488166189124808,,f,,,,open circle -- fine-grained
205,58.0,,18.2,0.12589254117941667,,f,,,,open circle -- fine-grained
206,58.0,,18.2,0.6456542290346554,,f,,,,open circle -- fine-grained
207,58.0,,18.9,1.0715193052376064,,f,,,,open circle -- fine-grained
208,58.0,,18.9,0.3548133892335754,,f,,,,open circle -- fine-grained
209,58.0,,19.3,1.288249551693134,,f,,,,open circle -- fine-grained
210,58.0,,19.6,0.12302687708123815,,f,,,,open circle -- fine-grained
211,58.0,,19.8,0.19952623149688795,,f,,,,open circle -- fine-grained
212,58.0,,19.8,0.22387211385683392,,f,,,,open circle -- fine-grained
213,58.0,,20.1,33.11311214825913,,f,,,,open circle -- fine-grained
214,58.0,,20.5,0.6456542290346554,,f,,,,open circle -- fine-grained
215,58.0,,20.7,42.65795188015927,,f,,,,open circle -- fine-grained
216,58.0,,20.9,2.818382931264454,,f,,,,open circle -- fine-grained
217,58.0,,21.2,0.7079457843841379,,f,,,,open circle -- fine-grained
218,58.0,,21.9,17.782794100389236,,f,,,,open circle -- fine-grained
219,58.0,,21.9,2.5118864315095806,,f,,,,open circle -- fine-grained
